Conference,Subfield,Paper
MOD22,Data management systems/Information systems applications,Nautilus: An Optimized System for Deep Transfer Learning over Evolving Training Datasets
MOD22,Data management systems,One Size Does Not Fit All: A Bandit-Based Sampler Combination Framework with Theoretical Guarantees
MOD22,Data management systems,Zeus: Efficiently Localizing Actions in Videos using Reinforcement Learning
MOD22,Data management systems,FiGO: Fine-Grained Query Optimization in Video Analytics
MOD22,Data management systems,Redundancy Elimination in Distributed Matrix Computation
MOD22,Data management systems,End-to-end Optimization of Machine Learning Prediction Queries
MOD22,Data management systems,EVA: A Symbolic Approach to Accelerating Exploratory Video Analytics with Materialized Views
MOD22,Data management systems,Tastes Great! Less Filling! High Performance and Accurate Training Data Collection for Self-Driving Database Management Systems
MOD22,Data management systems,Towards Dynamic and Safe Configuration Tuning for Cloud Databases
MOD22,Data management systems,ISUM: Efficiently Compressing Large and Complex Workloads for Scalable Index Tuning
MOD22,Data management systems/Information systems applications,LOCAT: Low-Overhead Online Configuration Auto-Tuning of Spark SQL Applications
MOD22,Data management systems,"ScaleStore: A Fast and Cost-Efficient Storage Engine using DRAM, NVMe, and RDMA"
MOD22,Data management systems/Information storage systems,Proteus: Autonomous Adaptive Storage for Mixed Workloads
MOD22,Data management systems,Natto: Providing Distributed Transaction Prioritization for High-Contention Workloads
MOD22,Data management systems,R2T: Instance-optimal Truncation for Differentially Private Query Evaluation with Foreign Keys
MOD22,Data management systems,Unsupervised Contextual Anomaly Detection for Database Systems
MOD22,Information systems applications,DMCS : Density Modularity based Community Search
MOD22,Data management systems,HAP: An Efficient Hamming Space Index Based on Augmented Pigeonhole Principle
MOD22,Data management systems,Balsa: Learning a Query Optimizer Without Expert Demonstrations
MOD22,Data management systems,LearnedSQLGen: Constraint-aware SQL Generation using Reinforcement Learning
MOD22,Data management systems,Selectivity Functions of Range Queries are Learnable
MOD22,Data management systems,Lightweight and Accurate Cardinality Estimation by Neural Network Gaussian Process
MOD22,Data management systems/Information storage systems,X-SSD: A Storage System with Native Support for Database Logging and Replication
MOD22,Data management systems,GaccO - A GPU-accelerated OLTP DBMS
MOD22,Data management systems,Triton Join: Efficiently Scaling to a Large Join State on GPUs with Fast Interconnects
MOD22,Data management systems,Sherman: A Write-Optimized Distributed B+Tree Index on Disaggregated Memory
MOD22,Data management systems,Halo: A Hybrid PMem-DRAM Persistent Hash Index with Fast Recovery
MOD22,Data management systems,Rethinking Stateful Stream Processing with RDMA
