Conference,Subfield,Paper
KDD22,Information retrieval,KRATOS: Context-Aware Cell Type Classification and Interpretation using Joint Dimensionality Reduction and Clustering
KDD22,Information systems applications,A Nearly-Linear Time Algorithm for Minimizing Risk of Conflict in Social Networks
KDD22,Information systems applications,A Process-Aware Decision Support System for Business Processes
KDD22,Information retrieval,ItemSage: Learning Product Embeddings for Shopping Recommendations at Pinterest
KDD22,World Wide Web,Company-as-Tribe: Company Financial Risk Assessment on Tribe-Style Graph with Hierarchical Graph Neural Networks
KDD22,Information retrieval,Personalized Chit-Chat Generation for Recommendation Using External Chat Corpora
KDD22,World Wide Web,EXTR: Click-Through Rate Prediction with Externalities in E-Commerce Sponsored Search
KDD22,Information systems applications,Physics-Guided Graph Meta Learning for Predicting Water Temperature and Streamflow in Stream Networks
KDD22,Information systems applications,Interpreting Trajectories from Multiple Views: A Hierarchical Self-Attention Network for Estimating the Time of Arrival
KDD22,Information retrieval,Graph-based Multilingual Language Model: Leveraging Product Relations for Search Relevance
KDD22,Information retrieval,Ask to Know More: Generating Counterfactual Explanations for Fake Claims
KDD22,Information retrieval,Amazon Shop the Look: A Visual Search System for Fashion and Home
KDD22,Information retrieval,Affective Signals in a Social Media Recommender System
KDD22,World Wide Web,TwHIN: Embedding the Twitter Heterogeneous Information Network for Personalized Recommendation
KDD22,World Wide Web,Automatic Generation of Product-Image Sequence in E-commerce
KDD22,Information systems applications,Applying Deep Learning Based Probabilistic Forecasting to Food Preparation Time for On-Demand Delivery Service
KDD22,World Wide Web,Automatic Controllable Product Copywriting for E-Commerce
KDD22,Information systems applications,Talent Demand-Supply Joint Prediction with Dynamic Heterogeneous Graph Enhanced Meta-Learning
KDD22,Information retrieval,Learning Backward Compatible Embeddings
KDD22,Information systems applications,ERNIE-GeoL: A Geography-and-Language Pre-trained Model and its Applications in Baidu Maps
KDD22,Information retrieval,Rax: Composable Learning-to-Rank Using JAX
KDD22,Information systems applications,Precision CityShield Against Hazardous Chemicals Threats via Location Mining and Self-Supervised Learning
KDD22,Information systems applications,Predicting Bearings Degradation Stages for Predictive Maintenance in the Pharmaceutical Industry
KDD22,World Wide Web,Vexation-Aware Active Learning for On-Menu Restaurant Dish Availability
KDD22,World Wide Web,"COBART: Controlled, Optimized, Bidirectional and Auto-Regressive Transformer for Ad Headline Generation"
KDD22,Information systems applications,SoccerCPD: Formation and Role Change-Point Detection in Soccer Matches Using Spatiotemporal Tracking Data
KDD22,Information systems applications,Fast Mining and Forecasting of Co-evolving Epidemiological Data Streams
KDD22,Information retrieval,Multi-Aspect Dense Retrieval
KDD22,Information systems applications,Self-Supervised Augmentation and Generation for Multi-lingual Text Advertisements at Bing
KDD22,Information retrieval,AutoFAS: Automatic Feature and Architecture Selection for Pre-Ranking System
KDD22,Information systems applications/World Wide Web,Arbitrary Distribution Modeling with Censorship in Real-Time Bidding Advertising
KDD22,Information systems applications,Automatically Discovering User Consumption Intents in Meituan
KDD22,Information systems applications,TaxoTrans: Taxonomy-Guided Entity Translation
KDD22,Information systems applications,"Persia: An Open, Hybrid System Scaling Deep Learning-based Recommenders up to 100 Trillion Parameters"
KDD22,Information systems applications,Duplex Conversation: Towards Human-like Interaction in Spoken Dialogue Systems
KDD22,Information retrieval,AdaFS: Adaptive Feature Selection in Deep Recommender System
KDD22,Information retrieval,Feature-aware Diversified Re-ranking with Disentangled Representations for Relevant Recommendation
KDD22,Information systems applications/World Wide Web,Task-optimized User Clustering based on Mobile App Usage for Cold-start Recommendations
KDD22,Information systems applications,User Behavior Pre-training for Online Fraud Detection
KDD22,Information systems applications,Modeling Persuasion Factor of User Decision for Recommendation
KDD22,Information systems applications/World Wide Web,Lion: A GPU-Accelerated Online Serving System for Web-Scale Recommendation at Baidu
KDD22,Information systems applications,Para-Pred: Addressing Heterogeneity for City-Wide Indoor Status Estimation in On-Demand Delivery
KDD22,Information retrieval/Information systems applications,OAG-BERT: Towards a Unified Backbone Language Model for Academic Knowledge Services
KDD22,Information retrieval,Pretraining Representations of Multi-modal Multi-query E-commerce Search
KDD22,Information retrieval/Information systems applications/World Wide Web,An Online Multi-task Learning Framework for Google Feed Ads Auction Models
KDD22,World Wide Web/Data management systems,CS-RAD: Conditional Member Status Refinement and Ability Discovery for Social Network Applications
KDD22,Information retrieval,Semantic Retrieval at Walmart
KDD22,World Wide Web,BE3R: BERT based Early-Exit Using Expert Routing
KDD22,World Wide Web,Proactively Reducing the Hate Intensity of Online Posts via Hate Speech Normalization
KDD22,Information retrieval/Information systems applications,CERAM: Coverage Expansion for Recommendations by Associating Discarded Models
KDD22,Data management systems,Graph Neural Network Training and Data Tiering
KDD22,Information systems applications,Towards Reliable Detection of Dielectric Hotspots in Thermal Images of the Underground Distribution Network
KDD22,Information retrieval,ASPIRE: Air Shipping Recommendation for E-commerce Products via Causal Inference Framework
KDD22,Information systems applications,DNA-Stabilized Silver Nanocluster Design via Regularized Variational Autoencoders
KDD22,World Wide Web,Crowdsourcing with Contextual Uncertainty
KDD22,Information retrieval,PinnerFormer: Sequence Modeling for User Representation at Pinterest
KDD22,Information retrieval,Improving Relevance Modeling via Heterogeneous Behavior Graph Learning in Bing Ads
KDD22,Information retrieval,DocLayNet: A Large Human-Annotated Dataset for Document-Layout Segmentation
KDD22,Information systems applications,Intelligent Request Strategy Design in Recommender System
KDD22,Information retrieval,NxtPost: User To Post Recommendations In Facebook Groups
KDD22,Information systems applications,Service Time Prediction for Delivery Tasks via Spatial Meta-Learning
KDD22,Information retrieval,Semantic Aware Answer Sentence Selection Using Self-Learning Based Domain Adaptation
KDD22,Information retrieval,Generalized Deep Mixed Models
KDD22,Information retrieval/Information systems applications,Recommendation in Offline Stores: A Gamification Approach for Learning the Spatiotemporal Representation of Indoor Shopping
KDD22,Information retrieval/World Wide Web,Friend Recommendations with Self-Rescaling Graph Neural Networks
KDD22,Information retrieval,Type Linking for Query Understanding and Semantic Search
KDD22,Information systems applications,CognitionNet: A Collaborative Neural Network for Play Style Discovery in Online Skill Gaming Platform
KDD22,Information systems applications,What is the Most Effective Intervention to Increase Job Retention for this Disabled Worker?
KDD22,Information retrieval/World Wide Web,Learning Supplementary NLP Features for CTR Prediction in Sponsored Search
KDD22,World Wide Web,ROI-Constrained Bidding via Curriculum-Guided Bayesian Reinforcement Learning
KDD22,Information systems applications,Learning to Discover Causes of Traffic Congestion with Limited Labeled Data
KDD22,Information systems applications,Representative Routes Discovery from Massive Trajectories
KDD22,World Wide Web/Information systems applications,CONFLUX: A Request-level Fusion Framework for Impression Allocation via Cascade Distillation
KDD22,Information retrieval/World Wide Web,Surrogate for Long-Term User Experience in Recommender Systems
KDD22,Information systems applications,Graph2Route: A Dynamic Spatial-Temporal Graph Neural Network for Pick-up and Delivery Route Prediction
KDD22,Information retrieval,FedAttack: Effective and Covert Poisoning Attack on Federated Recommendation via Hard Sampling
KDD22,World Wide Web,Interpretable Personalized Experimentation
KDD22,Information retrieval,Training Large-Scale News Recommenders with Pretrained Language Models in the Loop
KDD22,Information retrieval,Contrastive Cross-domain Recommendation in Matching
KDD22,World Wide Web/Information systems applications/Information retrieval,G2NET: A General Geography-Aware Representation Network for Hotel Search Ranking
KDD22,World Wide Web/Information retrieval,Mixture of Virtual-Kernel Experts for Multi-Objective User Profile Modeling
KDD22,Information systems applications,Multiwave COVID-19 Prediction from Social Awareness Using Web Search and Mobility Data
KDD22,Information systems applications,A Meta Reinforcement Learning Approach for Predictive Autoscaling in the Cloud
KDD22,Information retrieval,Scale Calibration of Deep Ranking Models
KDD22,Information systems applications,DuARE: Automatic Road Extraction with Aerial Images and Trajectory Data at Baidu Maps
KDD22,Information systems applications,CausalMTA: Eliminating the User Confounding Bias for Causal Multi-touch Attribution
KDD22,Information retrieval,Device-cloud Collaborative Recommendation via Meta Controller
KDD22,Information retrieval,ReprBERT: Distilling BERT to an Efficient Representation-Based Relevance Model for E-Commerce
KDD22,World Wide Web,Multilingual Taxonomic Web Page Classification for Contextual Targeting at Yahoo
KDD22,Information systems applications,Embedding Compression with Hashing for Efficient Representation Learning in Large-Scale Graph
KDD22,Information systems applications,Spatio-Temporal Vehicle Trajectory Recovery on Road Network Based on Traffic Camera Video Data
KDD22,Information retrieval,CommerceMM: Large-Scale Commerce MultiModal Representation Learning with Omni Retrieval
KDD22,Information retrieval,Deconfounding Duration Bias in Watch-time Prediction for Video Recommendation
KDD22,Information retrieval,Data-Driven Oracle Bone Rejoining: A Dataset and Practical Self-Supervised Learning Scheme
KDD22,Information retrieval,Uni-Retriever: Towards Learning the Unified Embedding Based Retriever in Bing Sponsored Search
KDD22,Information retrieval,Multi-Task Fusion via Reinforcement Learning for Long-Term User Satisfaction in Recommender Systems
KDD22,Information retrieval,Medical Symptom Detection in Intelligent Pre-Consultation Using Bi-directional Hard-Negative Noise Contrastive Estimation
KDD22,Information retrieval,JiuZhang: A Chinese Pre-trained Language Model for Mathematical Problem Understanding
KDD22,Information systems applications/Information retrieval,DDR: Dialogue Based Doctor Recommendation for Online Medical Service
KDD22,Information retrieval,Combo-Fashion: Fashion Clothes Matching CTR Prediction with Item History
KDD22,Information retrieval,User-tag Profile Modeling in Recommendation System via Contrast Weighted Tag Masking
KDD22,World Wide Web,Scalable Online Disease Diagnosis via Multi-Model-Fused Actor-Critic Reinforcement Learning
KDD22,Information systems applications,Dynamic Network Anomaly Modeling of Cell-Phone Call Detail Records for Infectious Disease Surveillance
