Conference,Subfield,Paper
ISCA22,Embedded and cyber-physical systems/Architectures,HiveMind: a hardware-software system stack for serverless edge swarms
ISCA22,Architectures,Tiny but mighty: designing and realizing scalable latency tolerance for manycore SoCs
ISCA22,Architectures,Training personalized recommendation systems from (GPU) scratch: look forward not backwards
ISCA22,Architectures,AMOS: enabling <u>a</u>utomatic <u>m</u>apping for tensor computations <u>o</u>n <u>s</u>patial accelerators with hardware abstraction
ISCA22,Architectures,Mokey: enabling narrow fixed-point inference for out-of-the-box floating-point transformer models
ISCA22,Architectures,Graphite: optimizing graph neural networks on CPUs through cooperative software-hardware techniques
ISCA22,Architectures,SmartSAGE: training large-scale graph neural networks using in-storage processing architectures
ISCA22,Architectures,Hyperscale FPGA-as-a-service architecture for large-scale distributed graph neural network
ISCA22,Embedded and cyber-physical systems/Architectures,Crescent: taming memory irregularities for accelerating deep point cloud analytics
ISCA22,Architectures,The Mozart reuse exposed dataflow processor for AI and beyond: industrial product
ISCA22,Architectures/Dependable and fault-tolerant systems and networks,AI accelerator on IBM Telum processor: industrial product
ISCA22,Architectures,Fidas: fortifying the cloud via comprehensive FPGA-based offloading for intrusion detection: industrial product
ISCA22,Architectures,Mixed-proxy extensions for the NVIDIA PTX memory consistency model: industrial product
MOD22,Architectures,NuPS: A Parameter Server for Machine Learning with Non-Uniform Parameter Access
MOD22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,HUNTER: An Online Cloud Database Hybrid Tuning System for Personalized Requirements
MOD22,Architectures,ISUM: Efficiently Compressing Large and Complex Workloads for Scalable Index Tuning
MOD22,Architectures,Halo: A Hybrid PMem-DRAM Persistent Hash Index with Fast Recovery
MOD22,Architectures,Tile-based Lightweight Integer Compression in GPU
MOD22,Architectures,Budget-aware Index Tuning with Reinforcement Learning
MOD22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,Serverless Data Science - Are We There Yet? A Case Study of Model Serving
MOD22,Architectures,KafkaDirect: Zero-copy Data Access for Apache Kafka over RDMA Networks
MOD22,Architectures,Saga: A Platform for Continuous Construction and Serving of Knowledge at Scale
SAC22,Architectures,"Domain name service trust delegation in cloud computing: exploitation, risks, and defense"
SAC22,Architectures,RAM: exploiting restrained and approximate management for enabling neural network training on NVM-based systems
SAC22,Embedded and cyber-physical systems,Software-defined hardware-assisted isolation for trusted next-generation IoT systems
SAC22,Embedded and cyber-physical systems,PICO: privacy-preserving access control in IoT scenarios through incomplete information
SAC22,Architectures/Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,Redundant dataflow applications on clustered manycore architectures
SAC22,Dependable and fault-tolerant systems and networks,An event-driven strategy for reactive replica balancing on apache hadoop distributed file system
SAC22,Architectures,Porting a benchmark with a classic workload to blockchain: TPC-C on hyperledger fabric
SAC22,Architectures,FL-MAB: client selection and monetization for blockchain-based federated learning
SAC22,Dependable and fault-tolerant systems and networks,Toward replicated and asynchronous data streams for edge-cloud applications
SAC22,Architectures,K-core decomposition on super large graphs with limited resources
SAC22,Real-time systems,Improving CRPD analysis for EDF scheduling: trading speed for precision
SAC22,Real-time systems/Embedded and cyber-physical systems,Simulating execution time and power consumption of real-time tasks on embedded platforms
SAC22,Real-time systems/Embedded and cyber-physical systems,CETAS: a cluster based energy and temperature efficient real-time scheduler for heterogeneous platforms
